共同物种列表:
Acacia dealbata
Adenostyles alliariae
Adonis annua
Aegopodium podagraria
Alcea rosea
Alliaria petiolata
Althaea cannabina
Althaea officinalis
Anemone alpina
Anemone coronaria
Anemone hepatica
Anemone nemorosa
Anemone pulsatilla
Anemone ranunculoides
Anemone rubra
Anemone vernalis
Angelica heterocarpa
Angelica sylvestris
Anthericum liliago
Barbarea vulgaris
Calendula arvensis
Calendula officinalis
Carthamus lanatus
Casuarina cunninghamiana
Centranthus angustifolius
Centranthus ruber
Cirsium acaulon
Cirsium arvense
Cirsium eriophorum
Cirsium oleraceum
Cirsium palustre
Cirsium vulgare
Cymbalaria muralis
Daphne cneorum
Daphne gnidium
Daphne laureola
Daphne mezereum
Daucus carota
Dryas octopetala
Dryopteris filix-mas
Epipactis atrorubens
Epipactis helleborine
Epipactis palustris
Fragaria vesca
Helminthotheca echioides
Honckenya peploides
Humulus lupulus
Hyoscyamus albus
Hyoseris radiata
Hypericum androsaemum
Hypericum hirsutum
Hypericum perforatum
Hypericum richeri
Lactuca alpina
Lactuca muralis
Lactuca perennis
Lactuca plumieri
Lactuca serriola
Lactuca viminea
Lamium album
Lamium amplexicaule
Lamium galeobdolon
Lamium maculatum
Lamium purpureum
Lapsana communis
Lathraea clandestina
Lavandula stoechas
Liriodendron tulipifera
Lithodora fruticosa
Lupinus angustifolius
Melilotus albus
Mercurialis annua
Mercurialis perennis
Myosoton aquaticum
Neotinea ustulata
Ophrys apifera
Ophrys arachnitiformis
Ophrys aranifera
Ophrys bertolonii
Ophrys fuciflora
Ophrys insectifera
Ophrys lupercalis
Ophrys lutea
Ophrys passionis
Ophrys scolopax
Ophrys speculum
Ophrys virescens
Osmunda regalis
Pancratium maritimum
Papaver alpinum
Papaver rhoeas
Papaver somniferum
Perovskia atriplicifolia
Punica granatum
Pyracantha coccinea
Sedum acre
Sedum album
Sedum dasyphyllum
Sedum rupestre
Sedum sediforme
Smilax aspera
Trifolium alpinum
Trifolium campestre
Trifolium cherleri
Trifolium incarnatum
Trifolium pratense
Trifolium repens
Trifolium resupinatum
Trifolium scabrum
Trifolium stellatum
Trifolium subterraneum

仅在PlantCLEF2015中的物种:
Abies alba
Abies cephalonica
Acanthus mollis
Acer campestre
Acer monspessulanum
Acer negundo
Acer opalus
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer saccharinum
Achillea filipendulina
Achillea millefolium
Achillea ptarmica
Aconitum lycoctonum
Aconitum napellus
Aesculus hippocastanum
Aethionema saxatile
Agave americana
Agave sisalana
Agrimonia eupatoria
Agrostemma githago
Ailanthus altissima
Ajuga chamaepitys
Ajuga genevensis
Ajuga iva
Ajuga reptans
Albizia julibrissin
Allium narcissiflorum
Allium nigrum
Allium polyanthum
Allium schoenoprasum
Allium sphaerocephalon
Allium triquetrum
Allium ursinum
Alnus alnobetula
Alnus cordata
Alnus glutinosa
Amaranthus deflexus
Ambrosia artemisiifolia
Amelanchier ovalis
Ammophila arenaria
Amorpha fruticosa
Anacamptis champagneuxii
Anacamptis laxiflora
Anacamptis morio
Anacamptis pyramidalis
Anacyclus clavatus
Anarrhinum bellidifolium
Anchusa italica
Androsace villosa
Andryala integrifolia
Antennaria dioica
Anthemis maritima
Anthoxanthum odoratum
Anthriscus sylvestris
Anthyllis hermanniae
Anthyllis montana
Anthyllis vulneraria
Antirrhinum majus
Aphyllanthes monspeliensis
Aquilegia vulgaris
Arabidopsis thaliana
Arbutus unedo
Arctium lappa
Arctium minus
Argyrolobium zanonii
Aristolochia clematitis
Aristolochia pistolochia
Aristolochia rotunda
Armeria alpina
Armeria arenaria
Armeria maritima
Arnica montana
Artemisia vulgaris
Arum italicum
Arum maculatum
Arundo donax
Asparagus acutifolius
Asparagus officinalis
Asphodelus albus
Asphodelus cerasiferus
Asphodelus ramosus
Asplenium adiantum-nigrum
Asplenium ceterach
Asplenium ruta-muraria
Asplenium scolopendrium
Asplenium trichomanes
Aster alpinus
Astragalus glycyphyllos
Astragalus hamosus
Astragalus monspessulanus
Astrantia major
Astrantia minor
Athyrium filix-femina
Atriplex prostrata
Atropa belladonna
Aucuba japonica
Ballota nigra
Bartsia alpina
Bartsia trixago
Bellevalia romana
Bellis perennis
Berardia lanuginosa
Berberis japonica
Berberis vulgaris
Berteroa incana
Beta vulgaris
Betonica officinalis
Betula pendula
Betula pubescens
Betula utilis
Bidens pilosa
Bistorta officinalis
Bituminaria bituminosa
Blackstonia imperfoliata
Blackstonia perfoliata
Blechnum spicant
Borago officinalis
Brassica napus
Broussonetia papyrifera
Bryonia cretica
Buddleja davidii
Buglossoides purpurocaerulea
Bupleurum fruticosum
Bupleurum ranunculoides
Buxus sempervirens
Cakile maritima
Calluna vulgaris
Caltha palustris
Campanula glomerata
Campanula latifolia
Campanula medium
Campanula patula
Campanula persicifolia
Campanula rapunculus
Campanula rhomboidalis
Campanula rotundifolia
Campanula scheuchzeri
Campanula trachelium
Canna indica
Capparis spinosa
Capsella bursa-pastoris
Cardamine amara
Cardamine flexuosa
Cardamine heptaphylla
Cardamine pratensis
Carduus acanthoides
Carduus carlinoides
Carduus defloratus
Carduus nigrescens
Carduus nutans
Carduus pycnocephalus
Carex flacca
